Membership No  Date Joined  Active  
    49190      2018-7-4     no    
    44211      2018-5-14    no    
    95280      2020-11-13   no    
    93261      2018-8-14    no    
    17844      2018-8-10    no    
    61249      2020-9-16    no    
    96588      2016-8-18    no    
    33936      2017-6-8     no    
    84507      2016-1-17    no    
    89157      2019-2-3     no    
    96271      2015-1-13    no    
    82743      2015-1-4     no    
    31597      2016-8-25    no    
    91790      2020-10-9    no    
